CSFId,CSF
5953,GOLD
5954,SKY TEAL
5955,BRONZE
5956,BLUE EYES
5957,4-Nitro-O-Phenylenediamine
5958,4-Nitro-O-Phenylenediamine
5959,4-Nitro-O-Phenylenediamine
5960,4-Nitro-O-Phenylenediamine
5961,VANILLA
5962,SORBET
5963,DUNE
5964,BANANA
5965,ANIS
5966,JUNGLE
5967,TOFFEE
5968,GRAPHITE
5969,GARDEN ROSE
5970,QUARTZ
5971,BURGUNDY
5972,BLACK
5973,DEEP LAVENDER
5974,ULTRA VIOLET
5975,01
5976,02
5977,Black
5978,Carbon Black
5979,Black Brown
5980,Brown
5981,Teal Kohl
5982,Burgundy Kohl
5983,Brown Kohl
5984,Navy Kohl
5985,Black Kohl
5986,Gold Kohl
5987,Swanky
5988,Classy
5989,Ritzy
5990,Posh
5991,Stylish
5992,Spunky
5993,Snazzy
5994,Trendy
5995,Fashionista
5996,Chic
5997,Pink
5998,Rose
5999,Coral
6000,Plum
6001,Nude
6002,Brown
6003,Mauve
6004,Red/Wine
6005,Black
6006,Blackest Black
6007,Sculpted
6008,Platinum
6009,Gilded
6010,Magnetic
6011,Gunmetal
6012,Plush
6013,Delectable
6014,Savory
6015,Luscious
6016,Succulent
6017,Ripe
6018,Pantone 389 C
6019,Pantone Rhodamine Red C
6020,Neon Green
6021,Pink
6022,Pink
6023,Green
6024,Black
6025,Blue
6026,Riverside Rose
6027,West Side Wine
6028,Park Avenue Plum
6029,Outside Cafe
6030,Central Park Pink
6031,Sutton Place Peach
6032,Natural Buff
6033,Translucent
6034,Naturally Beige
6035,Warm Beige
6036,Neutral
6037,Green
6038,Grey
6039,Pink
6040,Brown
6041,Purple
6042,Blue
6043,Black
6044,Orange
6045,Yellow
6046,Pink
6047,Green
6048,Red
6049,Orange
6050,Purple
6051,Clear
6052,Translucent Highlighter Glow
6053,Pink Cheek Glow
6054,All Over Bronze Glow
6055,Rose Glow
6056,Peach Glow
6057,Mocha Glow
6058,I Pink I'm in Love
6059,Satin Sheets
6060,Sweet Nothings
6061,French Tip White
6062,Pearly Whites
6063,In the Buff
6064,Honey Suckle
6065,Innocence
6066,Quick Dry
6067,Top Coat
6068,Base Coat
6069,Queen of Hearts
6070,Apple of my Eye
6071,Ragin' Cajun
6072,Mango-Get-Em
6073,Trust Fund Baby
6074,Breaking Curfew
6075,After Hours
6076,Now You See Me
6077,Don't Wait Up
6078,Stroke of Midnight
6079,Caffeinated
6080,Goldy Lucks
6081,Spiced Things Up
6082,Smell the Roses
6083,First Date
6084,Just Rosey
6085,Sand Castle
6086,Blush It Off
6087,Rendezvous
6088,Caught Red Handed
6089,Dozen Red Roses
6090,Lady Luck
6091,Mauvie Star
6092,Fleur De Lis
6093,Charmed I'm Sure
6094,How Romantic
6095,Target Red
6096,Party Hop
6097,Drama Queen
6098,Gypsy Rose
6099,Buff Beige
6100,Natural Buff
6101,Classic Ivory
6102,Soft Ivory
6103,Creme Cafe
6104,Caramel Beige
6105,Sun Beige
6106,Sand Beige
6107,Natural Beige
6108,Nude Beige
6109,Light Ivory
6110,Shell Beige
6111,Classic Beige
6112,Soft Sable
6113,Cocoa
6114,Nut Brown
6115,Creamy Natural
6116,Natural Ivory
6117,Pink Sand
6118,Petal Pink
6119,Dusty Rose
6120,Cherrywood
6121,Cappuccino
6122,Au Natural
6123,Sungold Pink
6124,Iced Orchid
6125,Sheer Ruby
6126,Sheer Raspberry
6127,Sheer Kiss
6128,Naughty Nude
6129,Bare Brown
6130,Burnished Wine
6131,Nutmeg
6132,Berry Rich
6133,Natural
6134,Plumwood
6135,Bronze Glow
6136,N.Y.C. Red
6137,Black Black
6138,Brown Black
6139,TRUE RED
6140,VERY CLEAR
6141,PINK
6142,GOLDEN RED
6143,SPARKLE
6144,MAUVE
6145,BROWN TOPEZ
6146,DOLL PINK
6147,AMETHYST
6148,SAND DUNE
6149,STRAWBERRY
6150,WILD ORCHID
6151,PEACH
6152,QUEEN OF AFRICA
6153,BABY PINK
6154,OPAL
6155,CREAMY BEIGE
6156,CHAMPAGNE
6157,ICED LATTE
6158,BRUISED
6159,ICED HONEY
6160,MAUVE
6161,COCOA
6162,RAISIN
6163,GALAXY
6164,VIOLET RAY
6165,BROWN SUGAR
6166,GOLDEN LUSTER
6167,ALMOST BLACK
6168,B52
6169,DECADENT
6170,CINNAMON SUGAR
6171,SIERRA
6172,SNOW WHITE
6173,TOPAZ
6174,ICED LAVENDER
6175,COPPER BROWN
6176,STONE
6177,KONA COFFEE
6178,BLACK CHERRY
6179,FROSTED FLAKES
6180,VERY BERRY
6181,EARTH ANGEL
6182,SKY PINK
6183,CHAMBORD
6184,PECAN
6185,FROSTED BEIGE
6186,WALNUT
6187,LUSTER
6188,TERRA COTTA
6189,EGGPLANT
6190,TAUPE
6191,ORANGE SODA
6192,HOT FUDGE
6193,HONEY
6194,HOT COCOA
6195,BABY PINK
6196,PINTO BEAN
6197,BROWN SWEET
6198,STRAWBERRY MILK
6199,ESPRESSO
6200,MARGARITA
6201,CHRISTIE
6202,FIRE
6203,MUTE
6204,CASTLE
6205,SASH
6206,TEA
6207,JUPITER
6208,MARS
6209,SATURN
6210,CREAM
6211,PERFECT
6212,PERFECT TAUPE
6213,CELEBRATE
6214,PEONY
6215,LALA
6216,GODDESS
6217,DARLING
6218,PECAN PIE
6219,WATERMELON
6220,SUMMER LOVE
6221,GEORGIA
6222,FLOWER
6223,PARIS
6224,MILAN
6225,JAVA
6226,HEATER
6227,HOPE
6228,PEACH
6229,VITAMIN
6230,FUSION
6231,TEA ROSE
6232,POWER
6233,PUMPKIN PIE
6234,GEM
6235,FRAPPUCINO
6236,TWIST
6237,LOUISIANA
6238,DOLL
6239,GARDENIA
6240,ROSE
6241,SUNFLOWER
6242,EUCALYPTUS
6243,FIG
6244,ROSE BUD
6245,Wishful Pinking
6246,Shopping Spree
6247,Pink Me Up
6248,Chicklette
6249,Sweet Chiffon
6250,Artic
6251,Ink
6252,Heather Plum
6253,Chocolate Kiss
6254,Blue Smoke
6255,Brownie
6256,Champagne
6257,Rosey
6258,Berry
6259,Golden Pink
6260,Naturally Bronze
6261,Bronzy Pink
6262,Orange
6263,Cotton Candy
6264,Ibiza
6265,Aruba
6266,Rio
6267,red; blue; black
6268,yellow
6269,red; blue; black
6270,IRIS
6271,HELIO
6272,MEDUSA
6273,HARMONICA
6274,ORPHEUS
6275,ZEUS
6276,NYX
6277,ORION
6278,NARCISSUS
6279,ECHO
6280,CHAOS
6281,ARIES
6282,ELECTRA
6283,PROTUS
6284,CLIO
6285,DIDO
6286,HADES
6287,PHOEBE
6288,NYMPHUS
6289,PANDORA
6290,CHLOE
6291,CIRCE
6292,ULYSSES
6293,APHRODITE
6294,HERA
6295,HESTIA
6296,URANUS
6297,GAEA
6298,THALIA
6299,PENELOPE
6300,SCYLIA
6301,REA
6302,CALISTO
6303,CELENE
6304,CREON
6305,EROS
6306,ATLAS
6307,HEREDES
6308,METIS
6309,ALECTO
6310,PLUTO
6311,ATHENA
6312,HEBE
6313,HERMES
6314,HERO
6315,CETO
6316,POSEIDON
6317,APOLLO
6318,RAPTURE
6319,INDIAN PINK
6320,Geranium
6321,Rose Bud
6322,Chianti
6323,Toasted Orange
6324,Laurel Nude
6325,Ivory Myrrh
6326,Cypress Beige
6327,Natural Clary
6328,Everlasting Tan
6329,Neroli Bronze
6330,Rich Mocha
6331,Tawny
6332,Toasted Almond
6333,PALE
6334,IVORY
6335,BUFF
6336,NUDE
6337,NATURAL
6338,SOFT BEIGE
6339,NATURAL BEIGE
6340,SAND BEIGE
6341,TRUE BEIGE
6342,MEDIUM BEIGE
6343,HONEY BEIGE
6344,TAWNY
6345,ALMOND
6346,CARAMEL
6347,CAPPUCCINO
6348,PINKY SHIMMER
6349,PURE SHIMMER
6350,SEXY SHIMMER
6351,GODDESS SHIMMER
6352,TRANSPARENT DARK
6353,IVORY
6354,PEACHY COMPLEXION
6355,LIGHT BEIGE
6356,MEDIUM BEIGE
6357,DARK BEIGE
6358,SOFT BEIGE
6359,CALIFORNIA TAN
6360,CANCUN TAN
6361,ALMOND
6362,CHOCOLATE
6363,Brown Sugar
6364,Beyond The Sea
6365,Pink Cadillac
6366,Brown Eyed Girl
6367,Purple Rain
6368,SILVER
6369,AQUA
6370,PINK
6371,GOLD
6372,COPPER
6373,WHITE
6374,BRONZE
6375,WHITE PEARL
6376,LAVENDER
6377,BABY BLUE
6378,BABY GREEN
6379,PLATINUM
6380,SILVER BLUE
6381,PINK PEARL
6382,SALMON
6383,OCEAN
6384,MILK
6385,BLUE EYES
6386,Bold Brown
6387,Plum Perfect
6388,Vampy Violet
6389,Brazen Blue
6390,Black
6391,Blackest Black
6392,MIRACLE
6393,FEMME
6394,SPELL BOUND
6395,Amethyst
6396,Steely
6397,Witty
6398,Far Out Fawns
6399,Bare Honey
6400,Pinched Pink
6401,Soft Rose
6402,Shimmering Bronze
6403,Sugar Plum
6404,Petal
6405,Truffle
6406,Dulce de leche
6407,Barely Nude
6408,Suede
6409,Raisin
6410,Sangria
6411,Undeniable Mauve
6412,Modern Mauve
6413,Posy
6414,Fiery
6415,Rebel Red
6416,Sunset
6417,Coral Sands
6418,Bloom
6419,Blush
6420,Black
6421,Dark Brown
6422,Charcoal
6423,Carbon Black
6424,Black Brown
6425,Blackest Black
6426,Black
6427,Unmistakable
6428,Intricate
6429,Attentive
6430,Meticulous
6431,Perfectionist
6432,Authentic
6433,Translucent
6434,Translucent-Medium
6435,Rose
6436,Matte
6437,Bare Rose
6438,Bare Shell
6439,Bare Olive
6440,Bare Gold
6441,Bare Nude
6442,Bare Spice
6443,Bare Chestnut
6444,Bare Lavender
6445,Pink Glow
6446,Rose Glow
6447,Nude Glow
6448,Honey Glow
6449,Mauve Glow
6450,Fair-Light
6451,Medium-deep
6452,Light
6453,Light-Medium
6454,Medium
6455,Soft Pink
6456,Rich Pink
6457,Soft Wine
6458,Soft Mauve
6459,Soft Coral
6460,Rich Rose
6461,Rich Plum
6462,Rich Brown
6463,Soft Brown
6464,Rich Nude
6465,Soft Nude
6466,Rich Red
6467,Azaela
6468,Grenadine
6469,Persimmon
6470,Merlot
6471,Auburn
6472,Amethyst
6473,Mulberry
6474,Thistle
6475,Apricot
6476,Crimson
6477,French Roast
6478,Russet
6479,Top Coat
6480,Mahogany
6481,Henna
6482,Ginger
6483,Nutmeg
6484,Garnet
6485,Hibiscus
6486,Pomegranate
6487,Teaberry
6488,Rosebud
6489,Terra Cotta
6490,Target Red
6491,Cerise
6492,Geranium
6493,Fair-Light Cool
6494,Medium Deep Warm
6495,Light-Medium Cool
6496,Light-Medium Neutral
6497,Light-Medium Warm
6498,Medium-Deep Neutral
6499,Medium-Deep Cool
6500,Fair Light Warm
6501,Fair Light Neutral
6502,STRAWBERRY
6503,PEACH
6504,WATERMELON
6505,COCONUT
6506,GRAPE
6507,APPLE
6508,ORANGE
6509,CHERRY
6510,ROSE BROWN
6511,VIXEN
6512,PINK NUDE
6513,HOT RED
6514,BRONZE
6515,GOLD
6516,CHOCOLATE
6517,ICED MOCHA
6518,DEEP RED
6519,COCOCA
6520,COCOA
6521,ICED COFFEE
6522,PLUSH RED
6523,COPPER
6524,SABLE BRONZE
6525,BURGUNDY
6526,BROWN
6527,COFFEE
6528,MAROON
6529,PECAN
6530,HONEY
6531,SOFT FUSCHIA
6532,HERA
6533,NARCISSE
6534,CHAOS
6535,HAZELNUT
6536,ICE
6537,Black Brown
6538,Frosty Shimmer
6539,Cocoa Shimmer
6540,Splendid
6541,Distinct
6542,Reserved
6543,Harmless
6544,Pretentious
6545,Precarious
6546,Euphoric
6547,Arresting
6548,Tainted
6549,Zealous
6550,Indestructible
6551,Turbulent
6552,Black Sparkle
6553,Silver Sparkle
6554,Blue Sparkle
6555,Brown Sparkle
6556,Emerald Sparkle
6557,Sky Sparkle
6558,Secretive
6559,Lofty
6560,Commanding
6561,Nervy
6562,MINK
6563,MOCHA
6564,ORO
6565,RUST
6566,WALNUT
6567,PENNY
6568,GRASS PEARL
6569,YELLOW PEARL
6570,VERY PINK PEARL
6571,ORANGE ZEST PEARL
6572,TRUE PURPLE PEARL
6573,JADE PEARL
6574,porcelain
6575,light
6576,blush medium
6577,golden medium
6578,tan
6579,medium dark
6580,dark
6581,deep
6582,deeper
6583,deepest
6584,110
6585,120
6586,130
6587,210
6588,220
6589,230
6590,240
6591,250
6592,260
6593,350
6594,440
6595,460
6596,520
6597,610
6598,01
6599,02
6600,03
6601,04
6602,05
6603,06
6604,07
6605,08
6606,10
6607,11
6608,TRANSPARENTE IRISEE
6609,BLOND
6610,BRUN
6611,CHATAIN
6612,10
6613,20
6614,30
6615,40
6616,50
6617,80
6618,110
6619,PORCELAINE
6620,VANILLA 0+
6621,PORCELAINE
6622,IVORY 1
6623,NUDE 1+
6624,SOFT BEIGE 2
6625,SAND 2+
6626,NATURAL 3
6627,APRICOT 3+
6628,HONEY 4
6629,GOLDEN 5
6630,01
6631,02
6632,PORCELAINE 0
6633,IVORY 1
6634,SOFT BEIGE 2
6635,NATURAL 3
6636,HONEY 4
6637,GOLDEN 5
6638,IVORY 1
6639,SOFT BEIGE 2
6640,NATURAL 3
6641,HONEY 4
6642,GOLDEN 5
6643,L1
6644,L2
6645,L3
6646,L6
6647,L9
6648,L11
6649,L12
6650,L13
6651,L14
6652,L15
6653,L16
6654,L17
6655,L18
6656,L19
6657,L20
6658,L21
6659,L22
6660,L23
6661,L24
6662,L25
6663,L26
6664,L27
6665,L28
6666,L30
6667,BEIGE 1
6668,BEIGE DORE 2
6669,BEIGE CUIVRE 3
6670,BEIGE AMBRE 4
6671,00
6672,01
6673,02
6674,03
6675,04
6676,05
6677,BEIGE CLAIR 0
6678,CENDRE 2
6679,DORE 3
6680,CUIVRE 5
6681,ROSE PECHE 6
6682,SOFT BEIGE 9
6683,IRISEE 0
6684,00
6685,02
6686,03
6687,04
6688,05
6689,06
6690,DEEP BROWN
6691,SO BROWN
6692,01
6693,03
6694,04
6695,05
6696,06
6697,07
6698,08
6699,09
6700,10
6701,11
6702,01
6703,02
6704,03
6705,04
6706,02
6707,00
6708,01
6709,03
6710,04
6711,05
6712,06
6713,1.5
6714,01
6715,02
6716,03
6717,04
6718,05
6719,06
6720,07
6721,08
6722,09
6723,10
6724,11
6725,12
6726,16
6727,17
6728,18
6729,19
6730,01
6731,02
6732,03
6733,04
6734,05
6735,06
6736,07
6737,08
6738,09
6739,11
6740,12
6741,Slate Grey
6742,Pure Plum
6743,Sapphire Blue
6744,DUO MIEL CANNELLE
6745,DUO PECHE DOREE
6746,Fresh
6747,Nectar
6748,Wildflower
6749,Lush
6750,Rosebud
6751,Pulp
6752,Bloom
6753,Petal
6754,Posey
6755,Flower
6756,Berry
6757,Nosegay
6758,BLACK
6759,SO BLACK
6760,SO BLUE
6761,Fresh Vanilla
6762,Fresh Watermelon
6763,Fresh Mixed Berry
6764,Fresh Strawberry
6765,Cupcake
6766,Sugar Cookie
6767,Sugared Berry
6768,Sweet Raspberry
6769,TRANSPARENTE MATE
6770,SABLE / SAND
6771,Beige
6772,Mocha
6773,Perfect Beige
6774,Vanilla Shell
6775,Warm Sunbeige
6776,Jet Black
6777,Black/Brown
6778,Linen
6779,Neautralizer
6780,Light
6781,Medium
6782,Medium/Deep
6783,Deep
6784,Dark
6785,01
6786,02
6787,03
6788,04
6789,03
6790,04
6791,09
6792,10
6793,11
6794,LEVEL 1 COOL
6795,LEVEL 1 WARM LIGHT
6796,LEVEL 1 WARM MEDIUM
6797,LEVEL 2 COOL
6798,LEVEL 2 WARM
6799,LEVEL 2 WARM LIGHT
6800,LEVEL 2 WARM MEDIUM
6801,LEVEL 2 WARM MEDIUM/LIGHT
6802,LEVEL 3 COOL LIGHT
6803,LEVEL 3 WARM LIGHT
6804,LEVEL 3 WARM MEDIUM
6805,LEVEL 4 COOL
6806,LEVEL 4 WARM LIGHT
6807,LEVEL 4 WARM MEDIUM
6808,LEVEL 5 COOL
6809,LEVEL 5 WARM
6810,LEVEL 6 COOL
6811,LEVEL 6 WARM
6812,LEVEL 4 WARM LIGHT
6813,LEVEL 1 B/R
6814,LEVEL 1 R
6815,LEVEL 1 R/O
6816,LEVEL 1 Y/O
6817,LEVEL 2 B/R
6818,LEVEL 2 R
6819,LEVEL 2 R/O
6820,LEVEL 2 Y/O
6821,LEVEL 3 B/R
6822,LEVEL 3 R
6823,LEVEL 3 R/O
6824,LEVEL 3 Y/O
6825,LEVEL 4 B/R
6826,LEVEL 4 R
6827,LEVEL 4 R/O
6828,LEVEL 4 Y/O
6829,LEVEL 5 B/R
6830,LEVEL 5 R
6831,LEVEL 5 R/O
6832,LEVEL 5 Y/O
6833,LEVEL 6 B/R
6834,LEVEL 6 R
6835,LEVEL 6 R/O
6836,LEVEL 6 Y/O
6837,BISQUE
6838,CAMELLIA
6839,CHAMPAGNE
6840,CHESTNUT
6841,COCOA
6842,CREAM
6843,FAWN
6844,GOLD
6845,IVORY
6846,PEACH
6847,PORCELAIN
6848,SAND
6849,TAWNY
6850,07
6851,08
6852,09
6853,10
6854,11
6855,12
6856,13
6857,TRANSPARENTE IRISEE 0
6858,BLANC
6859,PRUNE
6860,ROSE
6861,VERT BRONZE
6862,The Storm Eye Palette
6863,The Quartz Eye Palette
6864,The Mountain Eye Palette
6865,The Ocean Eye Palette
6866,The Metallic Eye Palette
6867,The Stone Eye Palette
6868,The Earth Eye Palette
6869,The Amethyst Eye Palette
6870,L29
6871,Neutralizer
6872,Natural
6873,Light
6874,Light/Medium
6875,Medium/Deep
6876,Deep/Dark
6877,Beaming
6878,Bloom
6879,Sunrise
6880,Rosy
6881,Flush
6882,Ginger
6883,Sunset
6884,Baby Pink
6885,Perfect Pink
6886,Pink Blossom
6887,Champagne Rose
6888,Rose Blossom
6889,Rose Bloom
6890,Soft Orchid
6891,Plum Shimmer
6892,Sparkling Berry
6893,Plum Rose
6894,Seashell Nude
6895,Rose Brown
6896,Chocolate Cherry
6897,Adobe
6898,Liliac
6899,Berry White
6900,Garnet
6901,Golden Berry
6902,Sunburst
6903,Sunbeam
6904,Soft Red
6905,Sangria
6906,MATE 1
6907,ROSE ORIENT 2
6908,SANDY 3
6909,DUO PEACH 1
6910,DUO LITCHI 2
6911,DUO MANGO 3
6912,DUO PINKY ROSE 4
6913,Clear Shimmer
6914,Sweet Pink
6915,Pretty Pink
6916,Mystical Mauve
6917,Moonlight Mauve
6918,Sparkling Champagne
6919,Desert Sand
6920,Spicy Sienna
6921,Sugar Plum
6922,Bronze Berry
6923,Sweet Nectar
6924,Juicy Cherry
6925,TRANSPARENTE MATE 1
6926,DUO MIEL-CANNELLE
6927,Black Onyx
6928,Teak Brown
6929,REAL ANTELOPE
6930,REAL BEIGE
6931,REAL BISQUE
6932,REAL BLUSH
6933,REAL CAMELLIA
6934,REAL CHAMPAGNE
6935,REAL CHESTNUT
6936,REAL COCOA
6937,REAL CREAM
6938,REAL DUSK
6939,REAL ECRU
6940,REAL GINGER
6941,REAL GOLD
6942,REAL HAZELNUT
6943,REAL HONEY
6944,REAL IVORY
6945,REAL PEACH
6946,REAL PECAN
6947,REAL PETAL
6948,REAL PORCELAIN
6949,REAL ROSE
6950,REAL SAND
6951,REAL SIENNA
6952,REAL SUEDE
6953,REAL TAN
6954,REAL TAWNY
6955,REAL VANILLA
6956,REAL VELLUM
6957,SMOOTH ANTELOPE
6958,SMOOTH BEIGE
6959,SMOOTH BISQUE
6960,SMOOTH BLUSH
6961,SMOOTH CAMELLIA
6962,SMOOTH CAMEO
6963,SMOOTH CHAMPAGNE
6964,SMOOTH CHESTNUT
6965,SMOOTH COCOA
6966,SMOOTH CREAM
6967,SMOOTH DUSK
6968,SMOOTH ECRU
6969,SMOOTH FAWN
6970,SMOOTH GINGER
6971,SMOOTH GOLD
6972,SMOOTH HAZELNUT
6973,SMOOTH HONEY
6974,SMOOTH IVORY
6975,SMOOTH PEACH
6976,SMOOTH PECAN
6977,SMOOTH PETAL
6978,SMOOTH PORCELAIN
6979,SMOOTH ROSE
6980,SMOOTH SIENNA
6981,SMOOTH SUEDE
6982,SMOOTH TAN
6983,SMOOTH VANILLA
6984,SMOOTH VELLUM
6985,MEDIUM
6986,CORAL BEACH
6987,GARNET GLOW
6988,MOCHA CRYSTAL
6989,NUDE SAND
6990,ROSE QUARTZ
6991,DEEP
6992,FAIR
6993,LIGHT
6994,LIGHT-MEDIUM
6995,MEDIUM
6996,MEDIUM-DEEP
6997,DEEP/COOL
6998,DEEP/WARM
6999,FAIR/COOL
7000,FAIR/WARM
7001,LIGHT-MEDIUM/COOL
7002,LIGHT-MEDIUM/WARM
7003,LIGHT/COOL
7004,LIGHT/WARM
7005,MEDIUM-DEEP/COOL
7006,MEDIUM-DEEP/WARM
7007,MEDIUM/COOL
7008,MEDIUM/WARM
7009,VERY DEEP/COOL
7010,VERY DEEP/WARM
7011,VERY DEEP/WARM
7012,BLACK
7013,CORAL TREASURE
7014,FAIR
7015,LIGHT
7016,LIGHT MEDIUM
7017,MEDIUM
7018,MEDIUM DEEP
7019,VERY FAIR
7020,BODACIOUS BEIGE
7021,BRONZE KISSED
7022,BRONZE SPLASH
7023,DEEP DESIRE
7024,GOLDEN GODDESS
7025,IN THE BUFF
7026,MY FAIR LADY
7027,NUDE ENVY
7028,BLACK WINK
7029,BLUE HAWAII
7030,BROWN WINK
7031,FUSCHIA FUSION
7032,REAL TEAL
7033,VIOLET VIXEN
7034,BOOGIE BROWN
7035,GROOVY BLUE
7036,MOD BLACK
7037,H22N-01 BACKGROUND
7038,H22N-01 CENTER BUD
7039,H22N-01 PETAL
7040,H22N-02 BACKGROUND
7041,H22N-02 CENTER BUD
7042,H22N-02 PETAL
7043,H1WA-01 BOTTOM
7044,H1WA-01 MIDDLE
7045,H1WA-01 MIDDLE BOTTOM
7046,H1WA-01 MIDDLE-TOP
7047,H1WA-01 TOP
7048,H1WA-02 BOTTOM
7049,H1WA-02 MIDDLE
7050,H1WA-02 MIDDLE-BOTTOM
7051,H1WA-02 MIDDLE-TOP
7052,H1WA-02 TOP
7053,H054 17.3% BLUE
7054,H054 17.3% WHITE EXTENDER
7055,H054 17.3% YELLOW
7056,H05M 17.3% BLACK EXTENDER
7057,H05M 17.3% BLUE EXTENDER
7058,H05M 17.3% RED EXTENDER
7059,H05M 17.3% WHITE EXTENDER
7060,H05M 17.3%YELLOW EXTENDER
7061,LEVEL 1
7062,LEVEL 2
7063,LEVEL 3
7064,LEVEL 4
7065,LEVEL 5
7066,LEVEL 6
7067,YELLOW CORRECTOR
7068,CERISE
7069,NUDE
7070,ROSE
7071,AMANDE
7072,DORE
7073,IVOIRE
7074,OPALE
7075,PORCELAINE
7076,SABLE
7077,ANTI-ROUGEURS
7078,BEIGE
7079,CLAIR
7080,Nude Potion
7081,Pink Potion
7082,Berry Potion
7083,Spice Potion
7084,Rose Potion
7085,Crystal Potion
7086,Pink Crystal Potion
7087,Pink Rose Potion
7088,Misty Rose Potion
7089,Cranberry Potion
7090,Sunkissed Potion
7091,Quartz
7092,Pink Quartz
7093,Rose Quartz
7094,Pink Sapphire
7095,Moonstone
7096,Sunstone
7097,Ivory to Fair
7098,Fair to Light
7099,Light to Natural
7100,Natural to Tan
7101,Pink
7102,Fuschia
7103,Blue
7104,Full Flaunt
7105,Full Flattering
7106,Full Embrace
7107,Full Vixen
7108,Full Flirt
7109,Full Temptress
7110,Full Wink
7111,Full Coquette
7112,Classic Ivory
7113,Creamy Natural
7114,Creamy Beige
7115,Buff Beige
7116,Natural Beige
7117,Sand Beige
7118,Natural Ivory
7119,Fair Natural
7120,Nude Beige
7121,Buff
7122,Classic Beige
7123,Honey Beige
7124,Fair to Light
7125,Light to Medium
7126,Medium to Dark
7127,Ultra Black Potion
7128,Black Potion
7129,White Creme
7130,Black Creme
7131,Light Pink Creme
7132,Hot Pink Creme
7133,Blue Creme
7134,Red Frost
7135,Gold Frost
7136,Silver Frost
7137,Soft Yellow
7138,Fair Light
7139,Natural Light
7140,Soft Green
7141,Fair Light
7142,Natural Light
7143,Medium Beige
7144,Baroque
7145,Modern
7146,Deco
7147,Classic
7148,Rococo
7149,Soft Yellow
7150,Soft Green
7151,Fair
7152,Light
7153,Pink Nude Potion
7154,Pink Rose Potion
7155,Raspberry Potion
7156,Mauveberry Potion
7157,Sunkissed Potion
7158,Cinnamon Potion
7159,Organic Nude
7160,VANILLA ICE
7161,IRIS
7162,CHESTNUT
7163,ALMOND
7164,BLACK BEAN
7165,DARK BROWN
7166,POTS & PANS
7167,MILK
7168,STRAWBERRY MILK
7169,BABY BLUE
7170,HORSE RADDISH
7171,COTTAGE CHEESE
7172,FRENCH FRIES
7173,OYSTER
7174,YOGURT
7175,GOLD
7176,LIME
7177,LAVENDER
7178,SLATE
7179,PACIFIC
7180,ICED MOCHA
7181,PURPLE
7182,RUST
7183,BRONZE
7184,HOT PINK
7185,YELLOW
7186,ORANGE
7187,CHERRY
7188,ST.THOMAS
7189,ST.MARTEEN
7190,ST.KITT
7191,ANTIGUA
7192,ST.JOHN
7193,NEVIS
7194,JAMAICA
7195,BARBADOS
7196,ARUBA
7197,NUDE
7198,PEARL
7199,WHITE
7200,SILVER
7201,CHARCOAL
7202,BLACK
7203,FANTA
7204,BABY BLUE
7205,LIME
7206,OCEAN BLUE
7207,BABY PINK
7208,PURPLE
7209,SKY PINK
7210,TURQUOISE
7211,LILAC
7212,SPACE
7213,YELLOW GOLD
7214,ORANGE
7215,Natural to Tan Organics
7216,Soft Yellow Organics
7217,Soft Green Organics
7218,Fair Organics
7219,Light Organics
7220,Clearly Quick Gloss
7221,Whirlwind White Creme
7222,Beige Blast Creme
7223,Petal Pusher Creme
7224,Mauve It Frost
7225,Rose-a-go-go Frost
7226,Quick Sand Frost
7227,Expresso Creme
7228,Rapid Red Creme
7229,Lightening Creme
7230,Sonic Bloom Creme
7231,Blue Streak Frost
7232,Racey Rouge Creme
7233,Flashy Fuschia Frost
7234,Presto Pink Frost
7235,Blush Rush Frost
7236,Mochachino Frost
7237,Cinna-Snap Creme
7238,Wined-Up Frost
7239,Pronto Purple Frost
7240,Uptempo Plum Frost
7241,Jumpin' Jade Frost
7242,Blazing Blue Frost
7243,Night Flight Creme
7244,Night Flight Creme
7245,Coral Rush
7246,Lemon Dash
7247,Orange You Fast
7248,Lickety-Split Lime
7249,Lemon Dash
7250,Berry Swift
7251,In A Blink Blue
7252,Pass-By Pearl
7253,Rushing Rubies
7254,Racin' Red
7255,Teal Takeoff
7256,Violet Voom
7257,Blue Blast
7258,Expres-So Yellow
7259,Mango Motion
7260,Pronto Petal
7261,Rose Rush
7262,Sea Breeze
7263,Spring Green
7264,Urgent Orchid
7265,Clear Gloss
7266,Tint Gloss
7267,White Tip Creme
7268,Sheer Pink Gloss Creme
7269,Sheer Beige Gloss Creme
7270,Super Frost Platinum Frost
7271,Sheer Petal Gloss Frost
7272,Orchid Frost Creme
7273,Sheer Lilac Gloss Frost
7274,Jewel Frost
7275,Mauve Creme
7276,Berry Frost
7277,Magenta Creme
7278,Weathered Mauve Frost
7279,Stony Creme
7280,Antique Frost
7281,Rosewood Frost
7282,Royal Red Creme
7283,Heartbeat Frost
7284,Coral Creme Frost
7285,Classic Ivory
7286,Creamy Natural
7287,Creamy Beige
7288,Buff Beige
7289,Natural Beige
7290,Sand Beige
7291,Porcelain
7292,Ivory
7293,Beige
7294,Sand Beige
7295,Honey Beige
7296,Tawny Beige
7297,Dawn to Earth
7298,So Much Fawn
7299,Raisin the Bar
7300,You-Gurt Style
7301,Made You Blush
7302,Clear'd For Take-Off
7303,All the White Stuff
7304,Hollywood Scarlet
7305,Wine Not?
7306,Pat on the Black
7307,Organic Ginger
