CDPHId,CompanyId
2,4
3,338
4,4
5,4
6,4
7,11
8,11
9,11
10,11
12,11
13,11
14,11
15,11
16,11
17,11
18,4
24,181
26,27
27,27
29,31
30,33
31,33
32,33
33,33
34,33
35,33
36,33
37,33
38,23
41,31
42,31
43,43
44,22
45,43
46,23
47,46
48,46
49,46
50,46
51,46
52,46
53,46
54,46
56,841
57,23
58,23
59,23
60,23
61,23
62,23
63,23
64,23
65,23
66,23
67,23
68,23
69,23
70,23
71,23
72,23
73,23
74,23
75,23
76,23
77,23
78,23
79,23
80,23
81,23
82,23
83,23
84,841
85,841
86,841
87,23
88,23
89,23
90,23
91,23
92,23
93,23
94,23
95,23
96,23
97,23
98,23
99,23
100,23
101,23
102,23
103,23
104,23
105,23
106,23
107,23
108,23
109,23
110,23
111,23
112,23
113,23
114,23
115,23
116,23
117,23
118,23
119,23
120,23
121,23
122,23
123,23
124,23
125,23
126,23
127,23
128,23
129,23
130,23
131,23
132,23
133,23
134,23
135,23
136,23
137,23
138,23
139,841
140,841
141,841
142,841
143,841
152,841
153,841
154,841
155,841
156,55
157,841
158,841
159,841
160,23
161,23
162,23
163,23
164,23
165,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
174,23
175,23
176,23
177,23
178,23
179,23
180,23
181,23
182,841
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,23
196,23
197,23
198,67
199,67
200,23
201,23
202,23
203,23
204,23
205,23
206,23
207,23
208,23
209,23
210,23
211,23
212,23
213,23
214,23
215,23
216,23
217,23
218,23
219,23
220,23
221,23
222,4
223,23
224,23
225,23
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,23
237,4
238,23
239,4
240,23
241,23
242,4
243,23
244,23
245,4
246,23
247,4
248,23
249,23
250,23
251,4
252,4
253,23
254,4
255,4
256,23
257,23
258,4
259,23
260,4
261,23
262,23
263,23
264,23
265,23
266,23
267,23
268,23
269,69
272,23
273,23
274,23
275,23
276,4
277,23
278,23
279,23
280,23
281,23
282,23
283,23
284,23
285,23
286,23
287,23
288,23
289,23
290,23
291,23
292,23
293,23
294,23
295,23
296,23
297,23
298,23
299,23
300,23
301,23
302,23
303,23
304,23
305,23
306,23
307,23
308,23
309,23
310,23
311,23
312,23
313,23
314,23
315,23
316,23
317,23
318,23
319,23
320,23
321,23
322,23
323,23
324,23
325,23
326,23
327,23
328,23
329,23
330,23
331,23
332,23
333,71
334,71
335,71
336,23
337,23
338,71
339,23
340,23
341,23
342,23
343,23
344,23
345,23
346,23
347,23
348,23
349,71
350,23
351,23
352,23
353,23
354,23
355,23
356,23
357,23
358,23
359,23
360,23
361,23
362,71
363,71
364,71
365,71
366,72
367,72
368,23
369,23
370,23
371,23
372,23
373,23
374,23
375,23
376,23
377,23
378,23
379,23
380,23
381,23
382,23
383,23
384,23
385,23
386,23
387,23
388,23
389,23
390,23
391,23
392,23
393,23
394,23
395,23
396,23
397,23
398,23
399,23
400,23
401,23
402,23
403,23
404,23
405,23
406,23
407,23
408,23
409,23
410,23
411,23
412,23
413,23
414,23
415,23
416,23
417,23
418,23
419,23
420,23
421,23
422,23
423,23
424,23
425,23
426,23
427,23
428,23
429,23
430,23
431,23
432,23
433,23
434,71
435,23
436,71
437,71
438,71
439,71
440,23
441,23
442,23
443,23
444,23
445,23
446,23
447,23
448,23
449,23
450,23
451,23
452,23
453,23
454,23
455,23
456,23
457,23
458,23
459,23
460,23
461,23
462,23
463,23
464,23
465,23
466,23
467,23
468,23
469,23
470,23
471,23
472,23
473,23
474,23
475,23
476,23
477,23
478,23
479,23
480,76
481,76
482,76
483,76
484,76
485,76
486,76
487,76
488,76
489,23
490,23
491,23
492,23
493,23
494,23
495,23
496,23
497,23
498,23
499,23
500,23
501,23
502,23
503,23
504,23
505,23
506,23
507,23
508,23
509,23
510,23
511,23
512,23
513,23
514,23
515,23
517,23
518,23
519,23
520,23
521,23
522,23
523,23
524,23
525,23
526,23
527,23
528,23
529,23
530,23
531,23
532,23
533,23
534,23
535,23
536,23
537,23
538,23
539,23
540,23
541,23
542,23
543,23
544,43
545,43
546,43
547,43
548,43
549,43
550,43
551,43
552,43
553,43
554,43
555,43
556,43
557,43
558,43
559,43
560,43
561,43
562,43
563,43
564,43
565,43
566,43
567,70
568,43
569,43
570,43
571,43
572,43
573,43
574,43
575,43
576,43
577,43
578,43
579,43
580,43
581,43
582,43
583,43
584,43
585,23
586,23
587,23
588,71
589,23
590,23
591,23
592,23
593,23
594,23
595,23
596,23
597,23
598,23
599,23
600,23
601,23
602,23
603,23
604,23
605,23
606,23
607,23
608,23
609,23
610,23
611,23
612,23
613,23
614,23
615,23
616,23
617,23
618,23
619,82
620,82
621,82
623,82
624,82
625,82
626,82
627,82
635,841
636,841
637,841
638,841
639,841
640,841
641,841
642,841
646,23
647,23
648,23
649,23
650,23
651,23
652,23
653,23
654,23
655,23
656,841
657,23
658,77
659,23
660,23
661,841
662,23
663,23
664,23
665,841
666,23
667,23
668,841
669,23
670,23
671,23
672,23
673,841
674,23
675,23
676,841
677,23
678,23
679,841
680,23
681,23
682,23
683,23
684,23
685,23
686,841
687,841
688,841
689,841
690,841
691,841
692,841
693,841
694,841
695,841
696,841
697,841
698,841
699,841
700,841
701,841
702,23
703,23
704,23
705,23
706,23
707,23
708,23
709,23
710,23
711,23
712,23
713,23
714,23
715,23
